LoL: guwon,HLEc @ DRXc, Mon 1:00AM,3.5 Kills on Map 1+2
LoL: Lure,HLEc @ DRXc, Mon 1:00AM,8.5 Kills on Map 1+2
LoL: Frog,DRXc vs HLEc, Mon 1:00AM,3.5 Kills on Map 1+2
LoL: Sponge,DRXc vs HLEc, Mon 1:00AM,4.5 Kills on Map 1+2
LoL: deokdam,DRXc vs HLEc, Mon 1:00AM,9.5 Kills on Map 1+2
LoL: SeTab,DRXc vs HLEc, Mon 1:00AM,8.0 Kills on Map 1+2
LoL: Pleata,DRXc vs HLEc, Mon 1:00AM,1.0 Kills on Map 1+2
LoL: Dal,T1c @ LSBy, Mon 3:30AM,6.0 Kills on Map 1+2
LoL: Forest,T1c @ LSBy, Mon 3:30AM,5.5 Kills on Map 1+2
LoL: Nice,T1c @ LSBy, Mon 3:30AM,4.5 Kills on Map 1+2
LoL: Baut,T1c @ LSBy, Mon 3:30AM,1.0 Kills on Map 1+2
LoL: Smash,T1c @ LSBy, Mon 3:30AM,9.5 Kills on Map 1+2
LoL: DDahyuk,LSBy vs T1c, Mon 3:30AM,5.5 Kills on Map 1+2
LoL: Vincenzo,LSBy vs T1c, Mon 3:30AM,4.5 Kills on Map 1+2
LoL: Guti,LSBy vs T1c, Mon 3:30AM,7.0 Kills on Map 1+2
LoL: PlanB,LSBy vs T1c, Mon 3:30AM,1.0 Kills on Map 1+2
LoL: Diable,LSBy vs T1c, Mon 3:30AM,10.5 Kills on Map 1+2
LoL: Mihile,NSa @ KDFc, Mon 6:00AM,7.0 Kills on Map 1+2
LoL: Sounda,NSa @ KDFc, Mon 6:00AM,6.5 Kills on Map 1+2
LoL: Calix,NSa @ KDFc, Mon 6:00AM,8.5 Kills on Map 1+2
LoL: HH,NSa @ KDFc, Mon 6:00AM,1.0 Kills on Map 1+2
LoL: vital,NSa @ KDFc, Mon 6:00AM,12.5 Kills on Map 1+2
LoL: IlllIma,KDFc vs NSa, Mon 6:00AM,3.5 Kills on Map 1+2
LoL: Courage,KDFc vs NSa, Mon 6:00AM,3.0 Kills on Map 1+2
LoL: Cleaver,KDFc vs NSa, Mon 6:00AM,5.0 Kills on Map 1+2
LoL: Bull,KDFc vs NSa, Mon 6:00AM,5.0 Kills on Map 1+2
LoL: klowny,CWOLV @ PART, Mon 12:00PM,6.0 Kills on Maps 1+2+3
LoL: Velja,CWOLV @ PART, Mon 12:00PM,8.5 Kills on Maps 1+2+3
LoL: Peppe,CWOLV @ PART, Mon 12:00PM,9.0 Kills on Maps 1+2+3
LoL: TasteLess,CWOLV @ PART, Mon 12:00PM,1.0 Kills on Maps 1+2+3
LoL: Vaynedeta,CWOLV @ PART, Mon 12:00PM,11.5 Kills on Maps 1+2+3
LoL: Lunddorf,PART vs CWOLV, Mon 12:00PM,7.0 Kills on Maps 1+2+3
LoL: Sn1lle,PART vs CWOLV, Mon 12:00PM,9.0 Kills on Maps 1+2+3
LoL: Rylle,PART vs CWOLV, Mon 12:00PM,12.5 Kills on Maps 1+2+3
LoL: Cl0x,PART vs CWOLV, Mon 12:00PM,2.0 Kills on Maps 1+2+3
LoL: Yakkey,PART vs CWOLV, Mon 12:00PM,16.5 Kills on Maps 1+2+3
Dota: db-,ARMY @ BRHT, Mon 1:00AM,14.0 Kills in Game 1+2
Dota: inYourdreaM (在你的梦里),ARMY @ BRHT, Mon 1:00AM,15.0 Kills in Game 1+2
Dota: Yowe,ARMY @ BRHT, Mon 1:00AM,15.5 Kills in Game 1+2
Dota: Varizh,ARMY @ BRHT, Mon 1:00AM,4.0 Kills in Game 1+2
Dota: Jhocam,ARMY @ BRHT, Mon 1:00AM,6.0 Kills in Game 1+2
Dota: phoenix,BRHT vs ARMY, Mon 1:00AM,13.0 Kills in Game 1+2
